DN,objectClass,cn,description,distinguishedName,instanceType,whenCreated,whenChanged,uSNCreated,memberOf,uSNChanged,name,objectGUID,userAccountControl,badPwdCount,codePage,countryCode,badPasswordTime,lastLogoff,lastLogon,logonHours,pwdLastSet,primaryGroupID,objectSid,adminCount,accountExpires,logonCount,sAMAccountName,sAMAccountType,managedObjects,objectCategory,isCriticalSystemObject,dSCorePropagationData,lastLogonTimestamp,localPolicyFlags,location,operatingSystem,operatingSystemVersion,serverReferenceBL,dNSHostName,managedBy,rIDSetReferences,servicePrincipalName,msDS-SupportedEncryptionTypes,msDFSR-ComputerReferenceBL,showInAdvancedViewOnly,sn,title,physicalDeliveryOfficeName,telephoneNumber,givenName,displayName,department,company,directReports,homeDirectory,homeDrive,userWorkstations,profilePath,userPrincipalName,manager
"CN=Wiel Nouwen,OU=Verkoop,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Wiel Nouwen,Account Manager,"CN=Wiel Nouwen,OU=Verkoop,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910132527.0Z,20121202142831.0Z,65740,"CN=Verkoop,OU=Verkoop,OU=PFAfdelingen,DC=PoliForma,DC=nl",119064,Wiel Nouwen,X'fcd34fb862780544bc95f5f66b66e37a',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c785b040000',,9.22337E+18,4,Wie_Nou,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20120910132703.0Z;16010101000000.0Z,1.29989E+17,,,,,,,,,,0,,,Nouwen,Medewerker,B16,4077,Wiel,Wiel Nouwen,Verkoop,PoliForma BV,,\\\\PFSV1\\UserFolders\\Wie_Nou,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Wie_Nou,Wie_Nou@PoliForma.nl,"CN=Henk Pell,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Dirk Bogert,OU=Administratie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Dirk Bogert,Boekhouder,"CN=Dirk Bogert,OU=Administratie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910132836.0Z,20121201110912.0Z,65754,"CN=Administratie,OU=Administratie,OU=PFAfdelingen,DC=PoliForma,DC=nl",110656,Dirk Bogert,X'6052b17454f91a4f8d3184b7ad4ba56a',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c785c040000',,9.22337E+18,6,Dir_Bog,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20120910132951.0Z;16010101000000.0Z,1.29988E+17,,,,,,,,,,0,,,Bogert,Medewerker,B11,4142,Dirk,Dirk Bogert,Administratie,PoliForma BV,,\\\\PFSV1\\UserFolders\\Dir_Bog,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Dir_Bog,Dir_Bog@PoliForma.nl,"CN=Teus de Jong,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Karin Visse,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Karin Visse,Secretaresse,"CN=Karin Visse,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910133122.0Z,20121202155017.0Z,65768,"CN=Productie,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",127045,Karin Visse,X'2e9668972b551f42a97d8e0041d68a50',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c785d040000',,9.22337E+18,2,Kar_Vis,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20120910133237.0Z;16010101000000.0Z,1.29989E+17,,,,,,,,,,,,,Visse,Medewerker,B06,4206,Karin,Karin Visse,Productie,PoliForma BV,,\\\\PFSV1\\UserFolders\\Kar_Vis,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Kar_Vis,Kar_Vis@PoliForma.nl,"CN=Dick Brinkman,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Herman Bommel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Herman Bommel,Inkoper/Magazijnbeheerder,"CN=Herman Bommel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910133314.0Z,20121202155636.0Z,65780,"CN=Productie,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",127057,Herman Bommel,X'308a6a2683151945a71612137614dd57',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c785e040000',,9.22337E+18,2,Her_Bom,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20120910133616.0Z;16010101000000.0Z,1.29989E+17,,,,,,,,,,,,,Bommel,Medewerker,W03,4199,Herman,Herman Bommel,Productie,PoliForma BV,,\\\\PFSV1\\UserFolders\\Her_Bom,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Her_Bom,Her_Bom@PoliForma.nl,"CN=Dick Brinkman,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Doortje Heijnen,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Doortje Heijnen,Productontwikkelaar,"CN=Doortje Heijnen,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910133653.0Z,20151014221535.0Z,65791,"CN=Productie,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",225414,Doortje Heijnen,X'5e6a6df1797c4742acb4a547c97948ea',512,0,0,0,1.30893E+17,0,1.30894E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.30893E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c785f040000',,9.22337E+18,20,Doo_Hei,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20120910133821.0Z;16010101000000.0Z,1.30893E+17,,,,,,,,,,,,,Heijnen,Medewerker,B08,4163,Doortje,Doortje Heijnen,Productie,PoliForma BV,,\\\\PFSV1\\UserFolders\\Doo_Hei,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Doo_Hei,Doo_Hei@PoliForma.nl,"CN=Dick Brinkman,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Peter Carprieaux,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Peter Carprieaux,Hoofd FabricageBudel,"CN=Peter Carprieaux,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910133910.0Z,20121129164315.0Z,65802,"CN=FabricageBudel,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Productie,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Account Operators,CN=Builtin,DC=PoliForma,DC=nl;CN=Server Operators,CN=Builtin,DC=PoliForma,DC=nl;CN=Backup Operators,CN=Builtin,DC=PoliForma,DC=nl;CN=Print Operators,CN=Builtin,DC=PoliForma,DC=nl",102674,Peter Carprieaux,X'dfb4d26faa03b14fafd36c5288e3202e',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7860040000',1,9.22337E+18,7,Pet_Car,805306368,"CN=FabricageBudel,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl;OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl","CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20121129164315.0Z;20120910134053.0Z;16010101000000.0Z,1.29987E+17,,,,,,,,,,,,,Carprieaux,Hoofd,W01,4218,Peter,Peter Carprieaux,Productie,PoliForma BV,"CN=Floris Flipse,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Niels Smets,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Will Snellen,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",\\\\PFSV1\\UserFolders\\Pet_Car,Z:,,,Pet_Car@PoliForma.nl,"CN=Dick Brinkman,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Will Snellen,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Will Snellen,Chef Werkplaats,"CN=Will Snellen,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910134244.0Z,20121202160209.0Z,65817,"CN=FabricageBudel,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",127063,Will Snellen,X'9017a6bab9aa1d4c836003a150446a0f',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7861040000',,9.22337E+18,2,Wil_Sne,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20120910134409.0Z;16010101000000.0Z,1.29989E+17,,,,,,,,,,,,,Snellen,Chef,W05,4200,Will,Will Snellen,FabricageBudel,PoliForma BV,,\\\\PFSV1\\UserFolders\\Wil_Sne,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Wil_Sne,Wil_Sne@PoliForma.nl,"CN=Peter Carprieaux,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Niels Smets,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Niels Smets,Productcontroleur,"CN=Niels Smets,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910134455.0Z,20121202125723.0Z,65828,"CN=FabricageBudel,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",118988,Niels Smets,X'2cee8c54daea5d45b908872fe7fed8f7',66048,0,0,0,0,0,1.29989E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29987E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7862040000',,9.22337E+18,10,Nie_Sme,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20120910134636.0Z;16010101000000.0Z,1.29989E+17,,,,,,,,,,,,,Smets,Medewerker,W02,4251,Niels,Niels Smets,FabricageBudel,PoliForma BV,,\\\\PFSV1\\UserFolders\\Nie_Sme,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Nie_Sme,Nie_Sme@PoliForma.nl,"CN=Peter Carprieaux,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Floris Flipse,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Floris Flipse,Chef Onderhoud,"CN=Floris Flipse,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910134712.0Z,20130219092812.0Z,65841,"CN=FabricageBudel,OU=FabricageBudel,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl",204908,Floris Flipse,X'e671da4e7098af4399406224db9c46cf',66048,0,0,0,1.2999E+17,0,1.30057E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7863040000',,9.22337E+18,5,Flo_Fli,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20120910134817.0Z;16010101000000.0Z,1.30057E+17,,,,,,,,,,,,,Flipse,Chef,W06,4266,Floris,Floris Flipse,FabricageBudel,PoliForma BV,,\\\\PFSV1\\UserFolders\\Flo_Fli,Z:,PFWS1,\\\\PFSV1\\UserProfiles\\Flo_Fli,Flo_Fli@PoliForma.nl,"CN=Peter Carprieaux,OU=Productie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
"CN=Fons Willemsen,OU=Automatisering,OU=PFAfdelingen,DC=PoliForma,DC=nl",user,Fons Willemsen,CNC-programmeur,"CN=Fons Willemsen,OU=Automatisering,OU=PFAfdelingen,DC=PoliForma,DC=nl",4,20120910135111.0Z,20151025121824.0Z,65855,"CN=Automatisering,OU=Automatisering,OU=PFAfdelingen,DC=PoliForma,DC=nl;CN=Domain Admins,CN=Users,DC=PoliForma,DC=nl",241847,Fons Willemsen,X'e5ef9f1181d80048bff0ead87e5be68d',66048,0,0,0,0,0,1.30903E+17,X'ffffffffffffffffffffffffffffffffffffffffff',1.29918E+17,513,X'010500000000000515000000ea9d6142e4e55d3665447c7864040000',1,9.22337E+18,8,Fon_Wil,805306368,,"CN=Person,CN=Schema,CN=Configuration,DC=PoliForma,DC=nl",,20121129164315.0Z;20120910135234.0Z;16010101000000.0Z,1.30902E+17,,,,,,,,,,,,,Willemsen,Medewerker,B18,4208,Fons,Fons Willemsen,Automatisering,PoliForma BV,,\\\\PFSV1\\UserFolders\\Fon_Wil,Z:,,,Fon_Wil@PoliForma.nl,"CN=Jolanda Brands,OU=Directie,OU=PFAfdelingen,DC=PoliForma,DC=nl"
